003_I1I2C  ControlNumberIdentifier:NONE
005_I1I2C  DateandTimeofLatestTransaction:NONE
006_I1I2C  FixedLengthDataElementsAdditionalMaterialCharacteristics:NONE
007_I1I2$a  PhysicalDescriptionFixedField:Physicaldescriptionfixedfieldinformation
008_I1I2C  FixedLengthDataElements:NONE
010_I1I2C  LibraryofCongressControlNumber:NONE
013_I1I2C  PatentControlInformation:NONE
015_I1I2C  NationalBibliographyNumber:NONE
016_I1I2C  NationalBibliographicAgencyControlNumber:NONE
017_I1I2C  CopyrightorLegalDepositNumber:NONE
018_I1I2C  CopyrightArticle-FeeCode:NONE
020_I1I2$a  InternationalStandardBookNumber:ISBN
022_I1I2$a  InternationalStandardSerialNumber:ISSN
024_I1I2C  OtherStandardIdentifier:NONE
025_I1I2C  OverseasAcquisitionNumber:NONE
026_I1I2C  FingerprintIdentifier:NONE
027_I1I2C  StandardTechnicalReportNumber:NONE
028_I1I2$a  PublisherorDistributorNumber:Manufacturernumber
028_I1I2$b  PublisherorDistributorNumber:Recordinglabel
030_I1I2C  CODENDesignation:NONE
031_I1I2C  MusicalIncipitsInformation:NONE
032_I1I2C  PostalRegistrationNumber:NONE
033_I1I2C  DateTimeandPlaceofanEvent:NONE
034_I1I2C  CodedCartographicMathematicalData:NONE
035_I1I2C  SystemControlNumber:NONE
036_I1I2C  OriginalStudyNumberforComputerDataFiles:NONE
037_I1I2C  SourceofAcquisition:NONE
038_I1I2C  RecordContentLicensor:NONE
040_I1I2C  CatalogingSource:NONE
041_I1I2C  LanguageCode:NONE
042_I1I2C  AuthenticationCode:NONE
043_I1I2C  GeographicAreaCode:NONE
044_I1I2C  CountryofPublishing/ProducingEntityCode:NONE
045_I1I2C  TimePeriodofContent:NONE
046_I1I2C  SpecialCodedDates:NONE
047_I1I2C  FormofMusicalCompositionCode:NONE
048_I1I2C  NumberofMusicalInstrumentsorVoicesCodes:NONE
050_I1I2C  LibraryofCongressCallNumber:NONE
051_I1I2C  LibraryofCongressCopyIssueOffprintStatement:NONE
052_I1I2C  GeographicClassification:NONE
055_I1I2C  ClassificationNumbersAssignedinCanada:NONE
060_I1I2C  NationalLibraryofMedicineCallNumber:NONE
061_I1I2C  NationalLibraryofMedicineCopyStatement:NONE
066_I1I2C  CharacterSetsPresent:NONE
070_I1I2C  NationalAgriculturalLibraryCallNumber:NONE
071_I1I2C  NationalAgriculturalLibraryCopyStatement:NONE
072_I1I2C  SubjectCategoryCode:NONE
074_I1I2C  GPOItemNumber:NONE
080_I1I2C  UniversalDecimalClassificationNumber:NONE
082_I1I2C  DeweyDecimalClassificationNumber:NONE
083_I1I2C  AdditionalDeweyDecimalClassificationNumber:NONE
084_I1I2C  OtherClassificationNumber:NONE
085_I1I2C  SynthesizedClassificationNumberComponents:NONE
086_I1I2C  GovernmentDocumentClassificationNumber:NONE
088_I1I2C  ReportNumber:NONE
09X_I1I2C  LocalCallNumbers:NONE
100_I1I2$0  MainEntryPersonalName:Authorityrecordcontrolnumber
100_I1I2$4  MainEntryPersonalName:Relatorcode
100_I1I2$a  MainEntryPersonalName:Personalname
100_I1I2$b  MainEntryPersonalName:Numeration
100_I1I2$c  MainEntryPersonalName:Titles
100_I1I2$d  MainEntryPersonalName:Datesassociatedwithname
100_I1I2$e  MainEntryPersonalName:Relatorterm
110_I1I2$0  MainEntryCorporateName:Authorityrecordcontrolnumber
110_I1I2$4  MainEntryCorporateName:Relatorcode
110_I1I2$a  MainEntryCorporateName:Corporatebody
111_I1I2$0  MainEntryMeetingName:Authorityrecordcontrolnumber
111_I1I2$4  MainEntryMeetingName:Relatorcode
111_I1I2$a  MainEntryMeetingName:Meetingname
111_I1I2$c  MainEntryMeetingName:Dateofmeeting
111_I1I2$d  MainEntryMeetingName:Locationofmeeting
130_I1I2$0  MainEntryUniformTitle:Authorityrecordcontrolnumber
130_I1I2$4  MainEntryUniformTitle:Relatorcode
130_I1I2$a  MainEntryUniformTitle:Preferredtitlewhennonamein1XXfields(e.g.Bible;)
130_I1I2$f  MainEntryUniformTitle:Dateofwork
130_I1I2$k  MainEntryUniformTitle:Formsubheading
130_I1I2$l  MainEntryUniformTitle:Languageofwork
130_I1I2$m  MainEntryUniformTitle:Mediumofperformanceforwork
130_I1I2$n  MainEntryUniformTitle:Numberofpart/sectionofwork
130_I1I2$o  MainEntryUniformTitle:Arrangedstatementformusic
130_I1I2$p  MainEntryUniformTitle:Nameofpart/sectionofwork
130_I1I2$r  MainEntryUniformTitle:Keyformusic
130_I1I2$s  MainEntryUniformTitle:Version
130_I1I2$t  MainEntryUniformTitle:Titleofwork
210_I1I2C  AbbreviatedTitle:NONE
222_I1I2C  KeyTitle:NONE
240_I1I2$a  UniformTitle:Preferredtitlewhennamein1XXfield
240_I1I2$f  UniformTitle:Dateofwork
240_I1I2$l  UniformTitle:Languageofwork
240_I1I2$m  UniformTitle:Mediumofperformanceforwork
240_I1I2$n  UniformTitle:Numberofpart/sectionofwork
240_I1I2$o  UniformTitle:Arrangedstatementformusic
240_I1I2$p  UniformTitle:Nameofpart/sectionofwork
240_I1I2$r  UniformTitle:Keyformusic
240_I1I2$s  UniformTitle:Version
242_I1I2C  TranslationofTitlebyCatalogingAgency:NONE
243_I1I2C  CollectiveUniformTitle:NONE
245_I1I2C  TitleStatement:NONE
246_I1I2C  VaryingFormofTitle:NONE
247_I1I2C  FormerTitle:NONE
250_I1I2C  EditionStatement:NONE
251_I1I2C  VersionInformation:NONE
254_I1I2C  MusicalPresentationStatement:NONE
255_I1I2C  CartographicMathematicalData:NONE
256_I1I2C  ComputerFileCharacteristics:NONE
257_I1I2C  CountryofProducingEntity:NONE
258_I1I2C  PhilatelicIssueData:NONE
260_I1I2C  PublicationDistribution:NONE
263_I1I2C  ProjectedPublicationDate:NONE
264_I1I2C  ProductionPublicationDistributionManufactureAndCopyrightNotice:NONE
270_I1I2C  Address:NONE
300_I1I2C  PhysicalDescription:NONE
306_I1I2C  PlayingTime:NONE
307_I1I2C  Hours:NONE
310_I1I2C  CurrentPublicationFrequency:NONE
321_I1I2C  FormerPublicationFrequency:NONE
336_I1I2C  ContentType:NONE
337_I1I2C  MediaType:NONE
338_I1I2C  CarrierType:NONE
340_I1I2C  PhysicalMedium:NONE
341_I1I2C  AccessibilityContent:NONE
342_I1I2C  GeospatialReferenceData:NONE
343_I1I2C  PlanarCoordinateData:NONE
344_I1I2C  SoundCharacteristics:NONE
345_I1I2C  ProjectionCharacteristicsofMovingImage:NONE
346_I1I2C  VideoCharacteristics:NONE
347_I1I2C  DigitalFileCharacteristics:NONE
348_I1I2C  FormatofNotatedMusic:NONE
351_I1I2C  OrganizationandArrangementofMaterials:NONE
352_I1I2C  DigitalGraphicRepresentation:NONE
355_I1I2C  SecurityClassificationControl:NONE
357_I1I2C  OriginatorDisseminationControl:NONE
362_I1I2C  DatesofPublicationandSequentialDesignation:NONE
363_I1I2C  NormalizedDateandSequentialDesignation:NONE
365_I1I2C  TradePrice:NONE
366_I1I2C  TradeAvailabilityInformation:NONE
370_I1I2C  AssociatedPlace:NONE
377_I1I2C  AssociatedLanguage:NONE
380_I1I2C  FormofWork:NONE
381_I1I2C  OtherDistinguishingCharacteristicsofWorkorExpression:NONE
382_I1I2C  MediumofPerformance:NONE
383_I1I2C  NumericDesignationofMusicalWork:NONE
384_I1I2C  Key:NONE
385_I1I2C  AudienceCharacteristics:NONE
386_I1I2C  CreatorContributorCharacteristics:NONE
388_I1I2C  TimePeriodofCreation:NONE
490_I1I2C  SeriesStatement:NONE
500_I1I2C  GeneralNote:NONE
501_I1I2C  WithNote:NONE
502_I1I2C  DissertationNote:NONE
504_I1I2C  Bibliography:NONE
505_I1I2C  FormattedContentsNote:NONE
506_I1I2C  RestrictionsonAccessNote:NONE
507_I1I2C  ScaleNoteforGraphicMaterial:NONE
508_I1I2C  CreationProductionCreditsNote:NONE
510_I1I2C  CitationReferencesNote:NONE
511_I1I2C  ParticipantorPerformerNote:NONE
513_I1I2C  TypeofReportandPeriodCoveredNote:NONE
514_I1I2C  DataQualityNote:NONE
515_I1I2C  NumberingPeculiaritiesNote:NONE
516_I1I2C  TypeofComputerFileorDataNote:NONE
518_I1I2C  DateTimeandPlaceofanEventNote:NONE
520_I1I2C  Summary:NONE
521_I1I2C  TargetAudienceNote:NONE
522_I1I2C  GeographicCoverageNote:NONE
524_I1I2C  PreferredCitationofDescribedMaterialsNote:NONE
525_I1I2C  SupplementNote:NONE
526_I1I2C  StudyProgramInformationNote:NONE
530_I1I2C  AdditionalPhysicalFormavailableNote:NONE
532_I1I2C  AccessibilityNote:NONE
533_I1I2C  ReproductionNote:NONE
534_I1I2C  OriginalVersionNote:NONE
535_I1I2C  LocationofOriginals/DuplicatesNote:NONE
536_I1I2C  FundingInformationNote:NONE
538_I1I2C  SystemDetailsNote:NONE
540_I1I2C  TermsGoverningUseandReproductionNote:NONE
541_I1I2C  ImmediateSourceofAcquisitionNote:NONE
542_I1I2C  InformationRelatingtoCopyrightStatus:NONE
